19,1
1751,1
2408,1
3078,1
3609,1
3958,1
612,2
2405,2
3096,2
3696,2
222,3
743,3
1829,3
2036,3
2037,3
1742,4
3017,4
3928,4
4043,4
3230,5
98,6
118,6
190,6
251,6
351,6
437,6
471,6
530,6
674,6
675,6
738,6
740,6
1003,6
1065,6
1104,6
1267,6
1420,6
1554,6
1760,6
1784,6
1924,6
1943,6
1974,6
1995,6
2005,6
2212,6
2251,6
2277,6
2387,6
2754,6
2760,6
2954,6
2978,6
2985,6
3075,6
3175,6
3207,6
3284,6
3298,6
3348,6
3388,6
3419,6
3488,6
3614,6
3654,6
3715,6
3952,6
4012,6
4080,6
98,7
118,7
251,7
351,7
437,7
471,7
530,7
674,7
738,7
1003,7
1065,7
1104,7
1267,7
1420,7
1554,7
1760,7
1784,7
1924,7
1943,7
1995,7
2005,7
2212,7
2251,7
2277,7
2387,7
2754,7
2760,7
2985,7
3075,7
3175,7
3207,7
